comm_id,attorney_id,client_id,timestamp,comm_type,response_time_min,matter_id
COM-0001,ATT-020,CLI-024,2026-03-21T11:36:00Z,phone,460,MAT-003
COM-0002,ATT-029,CLI-024,2026-03-22T17:20:00Z,phone,346,MAT-036
COM-0003,ATT-022,CLI-023,2026-03-22T19:57:00Z,email,422,MAT-026
COM-0004,ATT-001,CLI-014,2026-03-21T12:32:00Z,email,375,MAT-018
COM-0005,ATT-013,CLI-002,2026-03-21T08:52:00Z,email,119,MAT-037
COM-0006,ATT-028,CLI-008,2026-03-21T09:59:00Z,email,282,MAT-025
COM-0007,ATT-017,CLI-012,2026-03-22T13:26:00Z,phone,158,MAT-005
COM-0008,ATT-003,CLI-008,2026-03-22T14:59:00Z,video_call,401,MAT-038
COM-0009,ATT-011,CLI-002,2026-03-21T20:27:00Z,email,247,MAT-003
COM-0010,ATT-001,CLI-011,2026-03-20T11:15:00Z,phone,256,MAT-018
COM-0011,ATT-030,CLI-013,2026-03-21T13:54:00Z,email,129,MAT-008
COM-0012,ATT-020,CLI-006,2026-03-20T16:20:00Z,phone,441,MAT-003
COM-0013,ATT-003,CLI-004,2026-03-20T19:47:00Z,email,281,MAT-038
COM-0014,ATT-014,CLI-016,2026-03-22T17:09:00Z,text,6,MAT-003
COM-0015,ATT-016,CLI-006,2026-03-20T11:53:00Z,email,356,MAT-030
COM-0016,ATT-030,CLI-023,2026-03-22T16:05:00Z,email,462,MAT-019
COM-0017,ATT-010,CLI-011,2026-03-20T16:05:00Z,text,319,MAT-025
COM-0018,ATT-001,CLI-007,2026-03-21T20:31:00Z,email,308,MAT-002
COM-0019,ATT-010,CLI-020,2026-03-22T11:08:00Z,email,315,MAT-025
COM-0020,ATT-028,CLI-009,2026-03-22T19:44:00Z,phone,259,MAT-025
COM-0021,ATT-020,CLI-008,2026-03-20T13:54:00Z,email,88,MAT-003
COM-0022,ATT-023,CLI-016,2026-03-21T15:19:00Z,email,366,MAT-009
COM-0023,ATT-027,CLI-013,2026-03-20T19:54:00Z,email,172,MAT-028
COM-0024,ATT-007,CLI-008,2026-03-20T18:09:00Z,email,35,MAT-018
COM-0025,ATT-019,CLI-004,2026-03-20T14:08:00Z,email,42,MAT-018
COM-0026,ATT-010,CLI-025,2026-03-22T12:37:00Z,email,251,MAT-007
COM-0027,ATT-014,CLI-014,2026-03-22T17:42:00Z,phone,305,MAT-003
COM-0028,ATT-010,CLI-023,2026-03-21T17:02:00Z,email,205,MAT-025
COM-0029,ATT-007,CLI-012,2026-03-20T07:53:00Z,portal_message,134,MAT-015
COM-0030,ATT-013,CLI-006,2026-03-21T17:25:00Z,in_person,446,MAT-013
COM-0031,ATT-011,CLI-015,2026-03-21T18:45:00Z,phone,166,MAT-039
COM-0032,ATT-030,CLI-025,2026-03-20T20:50:00Z,email,133,MAT-008
COM-0033,ATT-014,CLI-003,2026-03-21T09:02:00Z,portal_message,127,MAT-015
COM-0034,ATT-017,CLI-020,2026-03-21T10:46:00Z,email,24,MAT-005
COM-0035,ATT-025,CLI-001,2026-03-21T18:21:00Z,portal_message,195,MAT-032
COM-0036,ATT-011,CLI-001,2026-03-21T19:52:00Z,text,108,MAT-023
COM-0037,ATT-007,CLI-005,2026-03-22T17:54:00Z,video_call,263,MAT-038
COM-0038,ATT-009,CLI-017,2026-03-22T16:39:00Z,letter,105,MAT-022
COM-0039,ATT-014,CLI-025,2026-03-21T18:37:00Z,phone,280,MAT-003
COM-0040,ATT-025,CLI-015,2026-03-21T12:01:00Z,phone,326,MAT-009
COM-0041,ATT-026,CLI-003,2026-03-21T14:58:00Z,portal_message,297,MAT-008
COM-0042,ATT-008,CLI-011,2026-03-20T14:16:00Z,email,338,MAT-018
COM-0043,ATT-028,CLI-002,2026-03-22T16:16:00Z,email,7,MAT-025
COM-0044,ATT-017,CLI-008,2026-03-20T20:28:00Z,email,6,MAT-018
COM-0045,ATT-014,CLI-002,2026-03-21T15:52:00Z,portal_message,218,MAT-003
COM-0046,ATT-001,CLI-017,2026-03-22T17:03:00Z,phone,302,MAT-018
COM-0047,ATT-007,CLI-018,2026-03-21T19:07:00Z,portal_message,478,MAT-001
COM-0048,ATT-013,CLI-018,2026-03-20T15:41:00Z,email,355,MAT-037
COM-0049,ATT-014,CLI-003,2026-03-22T10:30:00Z,email,71,MAT-015
COM-0050,ATT-030,CLI-024,2026-03-20T17:18:00Z,video_call,217,MAT-019
COM-0051,ATT-006,CLI-014,2026-03-22T09:23:00Z,email,152,MAT-036
